WHIB,White Ibis (306 of 1222)
SCIB,Scarlet Ibis (307 of 1222)
GLIB,Glossy Ibis (308 of 1222)
WFIB,White-faced Ibis (309 of 1222)
WOST,Wood Stork (310 of 1222)
AMBI,American Bittern (311 of 1222)
LEBI,Least Bittern (312 of 1222)
YEBI,Yellow Bittern (313 of 1222)
GWHE,Great White Heron (314 of 1222)
GBHE,Great Blue Heron (315 of 1222)
GREG,Great Egret (316 of 1222)
PRHE,Pacific Reef Heron (317 of 1222)
SNEG,Snowy Egret (318 of 1222)
REEG,Reddish Egret (319 of 1222)
TRHE,Tricolored Heron (320 of 1222)
LBHE,Little Blue Heron (321 of 1222)
CAEG,Cattle Egret (322 of 1222)
GRHE,Green Heron (323 of 1222)
BCNH,Black-crowned Night-Heron (324 of 1222)
YCNH,Yellow-crowned Night-Heron (325 of 1222)
WHCR,Whooping Crane (326 of 1222)
SACR,Sandhill Crane (327 of 1222)
MSCR,Mississippi Sandhill Crane (328 of 1222)
LIMP,Limpkin (329 of 1222)
KIRA,King Rail (330 of 1222)
CLRA,Clapper Rail (331 of 1222)
RIRA,Ridgway's Rail (332 of 1222)
VIRA,Virginia Rail (333 of 1222)
YBCR,Yellow-breasted Crake (334 of 1222)
SORA,Sora (335 of 1222)
YERA,Yellow Rail (336 of 1222)
BLRA,Black Rail (337 of 1222)
BBRA,Buff-banded Rail (338 of 1222)
PUGA,Purple Gallinule (339 of 1222)
PUSW,Purple Swamphen (340 of 1222)
COGA,Common Gallinule (341 of 1222)
HAGA,Hawaiian Gallinule (342 of 1222)
MCMO,Mariana Common Moorhen (343 of 1222)
HACO,Hawaiian Coot (344 of 1222)
AMCO,American Coot (345 of 1222)
CARC,Caribbean Coot (346 of 1222)
REPH,Red Phalarope (347 of 1222)
RNPH,Red-necked Phalarope (348 of 1222)
WIPH,Wilson's Phalarope (349 of 1222)
AMAV,American Avocet (350 of 1222)
BNST,Black-necked Stilt (351 of 1222)
HAST,Hawaiian Stilt (352 of 1222)
EUWO,Eurasian Woodcock (353 of 1222)
AMWO,American Woodcock (354 of 1222)
WISN,Wilson's Snipe (355 of 1222)
PTSN,Pin-tailed Snipe (356 of 1222)
SWSN,Swinhoe's Snipe (357 of 1222)
SBDO,Short-billed Dowitcher (358 of 1222)
LBDO,Long-billed Dowitcher (359 of 1222)
STSA,Stilt Sandpiper (360 of 1222)
REKN,Red Knot (361 of 1222)
RRKN,Rufa Red Knot (362 of 1222)
PUSA,Purple Sandpiper (363 of 1222)
ROSA,Rock Sandpiper (364 of 1222)
SHAS,Sharp-tailed Sandpiper (365 of 1222)
PESA,Pectoral Sandpiper (366 of 1222)
WRSA,White-rumped Sandpiper (367 of 1222)
BASA,Baird's Sandpiper (368 of 1222)
LESA,Least Sandpiper (369 of 1222)
RNST,Red-necked Stint (370 of 1222)
LTST,Long-toed Stint (371 of 1222)
DUNL,Dunlin (372 of 1222)
CUSA,Curlew Sandpiper (373 of 1222)
SPOS,Spoon-billed Sandpiper (374 of 1222)
SESA,Semipalmated Sandpiper (375 of 1222)
WESA,Western Sandpiper (376 of 1222)
SAND,Sanderling (377 of 1222)
MAGO,Marbled Godwit (378 of 1222)
BARG,Bar-tailed Godwit (379 of 1222)
HUGO,Hudsonian Godwit (380 of 1222)
BLAG,Black-tailed Godwit (381 of 1222)
GRYE,Greater Yellowlegs (382 of 1222)
LEYE,Lesser Yellowlegs (383 of 1222)
SOSA,Solitary Sandpiper (384 of 1222)
WOSA,Wood Sandpiper (385 of 1222)
MASA,Marsh Sandpiper (386 of 1222)
WILL,Willet (387 of 1222)
WATA,Wandering Tattler (388 of 1222)
GTTA,Gray-tailed Tattler (389 of 1222)
RUFF,Ruff (390 of 1222)
UPSA,Upland Sandpiper (391 of 1222)
BBSA,Buff-breasted Sandpiper (392 of 1222)
SPSA,Spotted Sandpiper (393 of 1222)
COSA,Common Sandpiper (394 of 1222)
LBCU,Long-billed Curlew (395 of 1222)
WHIM,Whimbrel (396 of 1222)
BTCU,Bristle-thighed Curlew (397 of 1222)
NOLA,Northern Lapwing (398 of 1222)
EUDO,Eurasian Dotterel (399 of 1222)
BBPL,Black-bellied Plover (400 of 1222)
EUGP,European Golden-Plover (401 of 1222)
AMGP,American Golden-Plover (402 of 1222)
PAGP,Pacific Golden-Plover (403 of 1222)
LEGP,Lesser Golden-Plover (404 of 1222)
KILL,Killdeer (405 of 1222)
SEPL,Semipalmated Plover (406 of 1222)
CRPL,Common Ringed Plover (407 of 1222)
PIPL,Piping Plover (408 of 1222)
SNPL,Snowy Plover (409 of 1222)
WSPL,Western Snowy Plover (410 of 1222)
LRSP,Lesser Sand-Plover (411 of 1222)
WIPL,Wilson's Plover (412 of 1222)
MOPL,Mountain Plover (413 of 1222)
SURF,Surfbird (414 of 1222)
RUTU,Ruddy Turnstone (415 of 1222)
BLTU,Black Turnstone (416 of 1222)
AMOY,American Oystercatcher (417 of 1222)
BLOY,Black Oystercatcher (418 of 1222)
NOJA,Northern Jacana (419 of 1222)
BTPI,Band-tailed Pigeon (420 of 1222)
PLPI,Plain Pigeon (421 of 1222)
PRPP,Puerto Rican Plain Pigeon (422 of 1222)
RBPI,Red-billed Pigeon (423 of 1222)
WCPI,White-crowned Pigeon (424 of 1222)
SNPI,Scaly-naped Pigeon (425 of 1222)
SPDO,Spotted Dove (426 of 1222)
AFCD,African Collared-Dove (427 of 1222)
ZEBD,Zebra Dove (428 of 1222)
WTGD,White-throated Ground-Dove (429 of 1222)
MAFD,Mariana Fruit Dove (430 of 1222)
PHTD,Philippine Turtle-Dove (431 of 1222)
ECDO,Eurasian Collared-Dove (432 of 1222)
MODO,Mourning Dove (433 of 1222)
EADO,Eared Dove (434 of 1222)
ZEND,Zenaida Dove (435 of 1222)
WTDO,White-tipped Dove (436 of 1222)
CADO,Caribbean Dove (437 of 1222)
WWDO,White-winged Dove (438 of 1222)
COGD,Common Ground-Dove (439 of 1222)
RUGD,Ruddy Ground-Dove (440 of 1222)
INDO,Inca Dove (441 of 1222)
KWQD,Key West Quail-Dove (442 of 1222)
RUQD,Ruddy Quail-Dove (443 of 1222)
BRQD,Bridled Quail-Dove (444 of 1222)
CALC,California Condor (445 of 1222)
PSSH,Puerto Rican Sharp-shinned Hawk (446 of 1222)
HRLH,Harlan's Hawk (447 of 1222)
RH,Roadside Hawk (448 of 1222)
PBWH,Puerto Rican Broad-winged Hawk (449 of 1222)
HWHA,Hawaiian Hawk (450 of 1222)
AP,Aplomado Falcon (451 of 1222)
AK,American Kestrel (452 of 1222)
ACCA,Audubon's Crested Caracara (453 of 1222)
BNOW,Barn Owl (454 of 1222)
AFOW,Ashy-faced Owl (455 of 1222)
LEOW,Long-eared Owl (456 of 1222)
SEOW,Short-eared Owl (457 of 1222)
BDOW,Barred Owl (458 of 1222)
SBOH,Spotted X Barred Owl Hybrid (459 of 1222)
SPOW,Spotted Owl (460 of 1222)
CSOW,California Spotted Owl (461 of 1222)
NSOW,Northern Spotted Owl (462 of 1222)
MSOW,Mexican Spotted Owl (463 of 1222)
GGOW,Great Gray Owl (464 of 1222)
BOOW,Boreal Owl (465 of 1222)
NSWO,Northern Saw-whet Owl (466 of 1222)
EASO,Eastern Screech-Owl (467 of 1222)
WHSO,Whiskered Screech-Owl (468 of 1222)
WESO,Western Screech-Owl (469 of 1222)
PRSO,Puerto Rican Screech-Owl (470 of 1222)
FLOW,Flammulated Owl (471 of 1222)
GHOW,Great Horned Owl (472 of 1222)
SNOW,Snowy Owl (473 of 1222)
NHOW,Northern Hawk Owl (474 of 1222)
BUOW,Burrowing Owl (475 of 1222)
NOPO,Northern Pygmy-Owl (476 of 1222)
FEPO,Ferruginous Pygmy-Owl (477 of 1222)
ELOW,Elf Owl (478 of 1222)
BHPA,Black-headed Parakeet (479 of 1222)
HPKT,Hispaniolan Parakeet (480 of 1222)
OFPA,Orange-fronted Parakeet (481 of 1222)
BTPA,Brown-throated Parakeet (482 of 1222)
BCLO,Blue-crowned Lorikeet (483 of 1222)
TBPA,Thick-billed Parrot (484 of 1222)
MOPA,Monk Parakeet (485 of 1222)
CHCO,Cherry-head Conure (486 of 1222)
RCPA,Red-crowned Parrot (487 of 1222)
HPRT,Hispaniolan Parrot (488 of 1222)
PRPA,Puerto Rican Parrot (489 of 1222)
OWPA,Orange-winged Parrot (490 of 1222)
SBAN,Smooth-billed Ani (491 of 1222)
GBAN,Groove-billed Ani (492 of 1222)
GRRO,Greater Roadrunner (493 of 1222)
PRLC,Puerto Rican Lizard-Cuckoo (494 of 1222)
MACU,Mangrove Cuckoo (495 of 1222)
YBCU,Yellow-billed Cuckoo (496 of 1222)
WYBC,Western Yellow-billed Cuckoo (497 of 1222)
BBCU,Black-billed Cuckoo (498 of 1222)
ELTR,Elegant Trogon (499 of 1222)
EAQU,Eared Quetzal (500 of 1222)
BEKI,Belted Kingfisher (501 of 1222)
RIKI,Ringed Kingfisher (502 of 1222)
GKIN,Green Kingfisher (503 of 1222)
PRTO,Puerto Rican Tody (504 of 1222)
IBWO,Ivory-billed Woodpecker (505 of 1222)
HAWO,Hairy Woodpecker (506 of 1222)
DOWO,Downy Woodpecker (507 of 1222)
RCWO,Red-cockaded Woodpecker (508 of 1222)
LBWO,Ladder-backed Woodpecker (509 of 1222)
NUWO,Nuttall's Woodpecker (510 of 1222)
ARWO,Arizona Woodpecker (511 of 1222)
WHWO,White-headed Woodpecker (512 of 1222)
BBWO,Black-backed Woodpecker (513 of 1222)
ATTW,American Three-toed Woodpecker (514 of 1222)
YBSA,Yellow-bellied Sapsucker (515 of 1222)
RNSA,Red-naped Sapsucker (516 of 1222)
HYSA,Hybrid Sapsucker (517 of 1222)
RBSA,Red-breasted Sapsucker (518 of 1222)
WISA,Williamson's Sapsucker (519 of 1222)
PIWO,Pileated Woodpecker (520 of 1222)
RHWO,Red-headed Woodpecker (521 of 1222)
ACWO,Acorn Woodpecker (522 of 1222)
PRWO,Puerto Rican Woodpecker (523 of 1222)
LEWO,Lewis's Woodpecker (524 of 1222)
RBWO,Red-bellied Woodpecker (525 of 1222)
WIWO,West Indian Woodpecker (526 of 1222)
GFWO,Golden-fronted Woodpecker (527 of 1222)
GIWO,Gila Woodpecker (528 of 1222)
YSFL,Yellow-shafted Flicker (529 of 1222)
FLIN,Northern Flicker (530 of 1222)
RSFL,Red-shafted Flicker (531 of 1222)
GIFL,Gilded Flicker (532 of 1222)
CWWI,Chuck-will's-widow (533 of 1222)
BCNI,Buff-collared Nightjar (534 of 1222)
EWPW,Eastern Whip-poor-will (535 of 1222)
PRNI,Puerto Rican Nightjar (536 of 1222)
MWPW,Mexican Whip-poor-will (537 of 1222)
COPO,Common Poorwill (538 of 1222)
COPA,Common Pauraque (539 of 1222)
CONI,Common Nighthawk (540 of 1222)
ANNI,Antillean Nighthawk (541 of 1222)
LENI,Lesser Nighthawk (542 of 1222)
BLSW,Black Swift (543 of 1222)
CHSW,Chimney Swift (544 of 1222)
STSW,Short-tailed Swift (545 of 1222)
VASW,Vaux's Swift (546 of 1222)
WTSW,White-throated Swift (547 of 1222)
MAHU,Magnificent Hummingbird (548 of 1222)
PCST,Plain-capped Starthroat (549 of 1222)
BLUH,Blue-throated Hummingbird (550 of 1222)
GVIO,Green Violetear (551 of 1222)
RTHU,Ruby-throated Hummingbird (552 of 1222)
BCHU,Black-chinned Hummingbird (553 of 1222)
COHU,Costa's Hummingbird (554 of 1222)
ANHU,Anna's Hummingbird (555 of 1222)
BTLH,Broad-tailed Hummingbird (556 of 1222)
RUHU,Rufous Hummingbird (557 of 1222)
ALHU,Allen's Hummingbird (558 of 1222)
BUHU,Bumblebee Hummingbird (559 of 1222)
CAHU,Calliope Hummingbird (560 of 1222)
JAMA,Jamaican Mango (561 of 1222)
GRMA,Green Mango (562 of 1222)
GTCA,Green-throated Carib (563 of 1222)
ACHU,Antillean Crested Hummingbird (564 of 1222)
GREM,Green-breasted Mango (565 of 1222)
LUHU,Lucifer Hummingbird (566 of 1222)
