code,common_name,scientific_name,order
GCBT,Unidentified Gray-cheeked/Bicknell's Thrush,,1023
SWTH,Swainson's Thrush,Catharus ustulatus,1024
HETH,Hermit Thrush,Catharus guttatus,1025
REDW,Redwing,Turdus iliacus,1026
AMRO,American Robin,Turdus migratorius,1027
FIEL,Fieldfare,Turdus pilaris,1028
EYTH,Eyebrowed Thrush,Turdus obscurus,1029
DUTH,Dusky Thrush,Turdus naumanni,1030
CCTH,Clay-colored Thrush,Turdus grayi,1031
RBRO,Rufous-backed Robin,Turdus rufopalliatus,1032
RLTH,Red-legged Thrush,Turdus plumbeus,1033
VATH,Varied Thrush,Ixoreus naevius,1034
AZTH,Aztec Thrush,Ridgwayia pinicola,1035
BLUE,Bluethroat,Luscinia svecica,1036
SIRU,Siberian Rubythroat,Luscinia calliope,1037
RFBL,Red-flanked Bluetail,Tarsiger cyanurus,1038
NOWH,Northern Wheatear,Oenanthe oenanthe,1039
EABL,Eastern Bluebird,Sialia sialis,1040
WEBL,Western Bluebird,Sialia mexicana,1041
HYBL,Hybrid Western/Mountain Bluebird,Sialia mexicana x currucoides,1042
MOBL,Mountain Bluebird,Sialia currucoides,1043
WRSH,White-rumped Shama,Copsychus malabaricus,1044
HAEL,Hawaii Elepaio,Chasiempis sandwichensis,1045
OAEL,Oahu Elepaio,Chasiempis ibidis,1046
KAEL,Kauai Elepaio,Chasiempis sclateri,1047
TAFL,Taiga Flycatcher,Ficedula albicilla,1048
DSFL,Dark-sided Flycatcher,Muscicapa sibirica,1049
GSFL,Gray-streaked Flycatcher,Muscicapa griseisticta,1050
LAFI,Laysan Finch,Telespiza cantans,1051
NIFI,Nihoa Finch,Telespiza ultima,1052
OU,Ou,Psittirostra psittacea,1053
PALI,Palila,Loxioides bailleui,1054
MAPA,Maui Parrotbill,Pseudonestor xanthophrys,1055
HAAM,Hawaii Amakihi,Chlorodrepanis virens,1056
OAAM,Oahu Amakihi,Chlorodrepanis flava,1057
KAAM,Kauai Amakihi,Chlorodrepanis stejnegeri,1058
ANIA,Anianiau,Magumma parva,1059
GREA,Greater Akialoa,Akialoa ellisianus,1060
NUKU,Nukupuu,Hemignathus lucidus,1061
AKIP,Akiapolaau,Hemignathus munroi,1062
AKIK,Akikiki,Oreomystis bairdi,1063
HCRE,Hawaii Creeper,Loxops mana,1064
MAAL,Maui Alauahio,Paroreomyza montana,1065
KAKA,Kakawahie,Paroreomyza flammea,1066
OAAL,Oahu Alauahio,Paroreomyza maculata,1067
AKEP,Akepa,Loxops coccineus,1068
AKEK,Akekee,Loxops caeruleirostris,1069
IIWI,Iiwi,Drepanis coccinea,1070
AKOH,Akohekohe,Palmeria dolei,1071
APAP,Apapane,Himatione sanguinea,1072
POUL,Poo-uli,Melamprosops phaeosoma,1073
REBI,Red Bishop,Euplectes franciscanus,1074
YCBI,Yellow-crowned Bishop,Euplectes afer,1075
RCCO,Red-cheeked Cordonbleu,Uraeginthus bengalus,1076
LAVW,Lavender Waxbill,Estrilda caerulescens,1077
ORAW,Orange-cheeked Waxbill,Estrilda melpoda,1078
BRWX,Black-rumped Waxbill,Estrilda troglodytes,1079
COMW,Common Waxbill,Estrilda astrild,1080
REAV,Red Avadavat,Amandava amandava,1081
AFSI,African Silverbill,Euodice cantans,1082
BRMA,Bronze Mannikin,Spermestes cucullata,1083
SBMU,Scaly-breasted Munia,Lonchura punctulata,1084
TRMU,Tricolored Munia,Lonchura malacca,1085
JASP,Java Sparrow,Lonchura oryzivora,1086
PTWH,Pin-tailed Whydah,Vidua macroura,1087
KIPE,King Penguin,Aptenodytes patagonicus,1088
EMPE,Emperor Penguin,Aptenodytes forsteri,1089
GEPE,Gentoo Penguin,Pygoscelis papua,1090
ADPE,Adelie Penguin,Pygoscelis adeliae,1091
CHPE,Chinstrap Penguin,Pygoscelis antarcticus,1092
VIPE,Victoria Penguin,Eudyptes pachyrynchus,1093
ROCP,Rockhopper Penguin,Eudyptes chrysocome,1094
ROYP,Royal Penguin,Eudyptes schlegeli,1095
MACP,Macaroni Penguin,Eudyptes chrysolophus,1096
FAPE,Fairy Penguin,Eudyptula minor,1097
AFPE,African Penguin,Spheniscus demersus,1098
HUPE,Humboldt Penguin,Spheniscus humboldti,1099
MAGP,Magellanic Penguin,Spheniscus magellanicus,1100
GALP,Galapagos Penguin,Spheniscus mendiculus,1101
ROAL,Royal Albatross,Diomedea epomophora,1102
BUAL,Buller's Albatross,Thalassarche bulleri,1103
GHAL,Gray-headed Albatross,Thalassarche chrysostoma,1104
SOAL,Sooty Albatross,Phoebetria fusca,1105
LMSA,Light-mantled Albatross,Phoebetria palpebrata,1106
SGPE,Southern Giant Petrel,Macronectes giganteus,1107
SOFU,Southern Fulmar,Fulmarus glacialoides,1108
BLPE,Blue Petrel,Halobaena caerulea,1109
BBPR,Broad-billed Prion,Pachyptila vittata,1110
DOPR,Dove Prion,Pachyptila desolata,1111
TBPR,Thin-billed Prion,Pachyptila belcheri,1112
FAPR,Fairy Prion,Pachyptila turtur,1113
ANPE,Antarctic Petrel,Thalassoica antarctica,1114
WCPE,White-chinned Petrel,Procellaria aequinoctialis,1115
KEPE,Kerguelen Petrel,Lugensa brevirostris,1116
SNPE,Snow Petrel,Pagodroma nivea,1117
GBSP,Gray-backed Storm-Petrel,Garrodia nereis,1118
BECO,Blue-eyed Cormorant,Leucocarbo atriceps,1119
SNSH,Snowy Sheathbill,Chionis alba,1120
LESH,Lesser Sheathbill,Chionis minor,1121
SBBG,Southern Black-backed Gull,Larus dominicanus,1122
ANTE,Antarctic Tern,Sterna vittata,1123
KETE,Kerguelen Tern,Sterna virgata,1124
HYSK,Hybrid Skua,,1125
NGPE,Northern Giant Petrel,Macronectes halli,1126
BRSK,Brown Skua,Stercorarius antarctica,1127
TIMO,Tinian Monarch,Monarcha takatsukasae,1128
MARC,Mariana Crow,Corvus kubaryi,1129
GUSW,Guam Swiftlet,Aerodramus bartschi,1130
NIRW,Nightingale Reed Warbler,Acrocephalus luscinia,1131
MIME,Micronesian Megapode,Megapodius laperouse,1132
WRSW,White-rumped Swiftlet,Aerodramus spodiopygia,1133
PCFD,Purple-capped Fruit Dove,Ptilinopus porphyraceus,1134
COLK,Collared Kingfisher,Todiramphus chloris,1135
SAST,Samoan Starling,Aplonis atrifusca,1136
POST,Polynesian Starling,Aplonis tabuensis,1137
CAHO,Cardinal Honeyeater,Myzomela cardinalis,1138
WAHO,Wattled Honeyeater,Foulehaio carunculatus,1139
MIHO,Micronesian Honeyeater,Myzomela rubratra,1140
RUFA,Rufous Fantail,Rhipidura rufifrons,1141
FISH,Fiji Shrikebill,Clytorhynchus vitiensis,1142
BRWE,Bridled White-eye,Zosterops conspicillatus,1143
GOWE,Golden White-eye,Cleptornis marchei,1144
MIST,Micronesian Starling,Aplonis opaca,1145
BLDR,Black Drongo,Dicrurus macrocercus,1146
LTCU,Long-tailed Cuckoo,Eudynamys taitensis,1147
MCFD,Many-colored Fruit Dove,Ptilinopus perousii,1148
PAPI,Pacific Pigeon,Ducula pacifica,1149
SHGD,Shy Ground Dove,Gallicolumba stairi,1150
MICK,Micronesian Kingfisher,Todiramphus cinnamominus,1151
GMKI,Guam Micronesian Kingfisher,Todiramphus cinnamominus cinnamominus,1152
MASW,Mariana Swiftlet,Aerodramus bartschi,1153
ROWE,Rota White-eye,Zosterops rotensis,1154
ANMA,Antillean Mango,Anthracothorax dominicus,1155
STTL,Streamertail,Trochilus polytmus,1156
JATO,Jamaican Tody,Todus todus,1157
SAFL,Sad Flycatcher,Myiarchus barbirostris,1158
YBEL,Yellow-bellied Elaenia,Elaenia flavogaster,1159
GAEL,Greater Antillean Elaenia,Elaenia fallax,1160
JAEL,Jamaican Elaenia,Myiopagis cotta,1161
JACR,Jamaican Crow,Corvus jamaicensis,1162
SHWR,Southern House Wren,Troglodytes aedon musculus,1163
BRTR,Brown Trembler,Cinclocerthia ruficauda,1164
WETH,White-eyed Thrush,Turdus jamaicensis,1165
WCTH,White-chinned Thrush,Turdus aurantius,1166
RTSO,Rufous-throated Solitaire,Myadestes genibarbis,1167
TBVI,Thick-billed Vireo,Vireo crassirostris,1168
JAVI,Jamaican Vireo,Vireo modestus,1169
OLIW,Olive-capped Warbler,Setophaga pityophila,1170
ARRW,Arrowhead Warbler,Setophaga pharetra,1171
BAYE,Bahama Yellowthroat,Geothlypis rostrata,1172
ORAN,Orangequit,Euneornis campestris,1173
JAEU,Jamaican Euphonia,Euphonia jamaica,1174
VETR,Venezuelan Troupial,Icterus icterus,1175
JAOR,Jamaican Oriole,Icterus leucopteryx,1176
YSGR,Yellow-shouldered Grassquit,Loxipasser anoxanthus,1177
GABU,Greater Antillean Bullfinch,Loxigilla violacea,1178
YBSE,Yellow-bellied Seedeater,Sporophila nigricollis,1179
BBGR,Blue-black Grassquit,Volatinia jacarina,1180
HYNO,Hybrid Nonpasserine,,1181
HYPA,Hybrid Passerine,,1182
GRPA,Gray Partridge,Perdix perdix,1183
CHUK,Chukar,Alectoris chukar,1184
NOBO,Northern Bobwhite,Colinus virginianus,1185
MOUQ,Mountain Quail,Oreortyx pictus,1186
SCQU,Scaled Quail,Callipepla squamata,1187
CAQU,California Quail,Callipepla californica,1188
GAQU,Gambel's Quail,Callipepla gambelii,1189
MTZQ,Montezuma Quail,Cyrtonyx montezumae,1190
BGSE,Blue Grouse,Dendragapus obscurus/fuliginosus,1191
SPGR,Spruce Grouse,Falcipennis canadensis,1192
RUGR,Ruffed Grouse,Bonasa umbellus,1193
WIPT,Willow Ptarmigan,Lagopus lagopus,1194
ROPT,Rock Ptarmigan,Lagopus muta,1195
WTPT,White-tailed Ptarmigan,Lagopus leucura,1196
GPCH,Greater Prairie-Chicken,Tympanuchus cupido,1197
LPCH,Lesser Prairie-Chicken,Tympanuchus pallidicinctus,1198
STGR,Sharp-tailed Grouse,Tympanuchus phasianellus,1199
GRSG,Greater Sage Grouse,Centrocercus urophasianus,1200
RPHE,Ring-necked Pheasant,Phasianus colchicus,1201
GUSG,Gunnison Sage-Grouse,Centrocercus minimus,1202
COMP,Common Peafowl,Pavo cristatus,1203
WITU,Wild Turkey,Meleagris gallopavo,1204
PLCH,Plain Chachalaca,Ortalis vetula,1205
RODO,Rock Dove,Columba livia (Feral Pigeon),1206
OTHER,Other Observation,,1207
SS Adult,Sharp-Shinned Hawk Adult,Accipiter striatus,1208
SS Imm,Sharp-Shinned Hawk Immature,Accipiter striatus,1209
SS Unk,Sharp-Shinned Hawk Unknown,Accipiter striatus,1210
CH Adult,Cooper's Hawk Adult,Accipiter cooperii,1211
CH Imm,Cooper's Hawk Immature,Accipiter cooperii,1212
CH Unk,Cooper's Hawk Unknown,Accipiter cooperii,1213
RT AL,Red-Tailed Hawk Adult Light,Buteo jamaicensis,1214
RT AD,Red-Tailed Hawk Adult Dark,Buteo jamaicensis,1215
RT AU,Red-Tailed Hawk Adult Unknown,Buteo jamaicensis,1216
RT IL,Red-Tailed Hawk Immature Light,Buteo jamaicensis,1217
RT ID,Red-Tailed Hawk Immature Dark,Buteo jamaicensis,1218
RT IU,Red-Tailed Hawk Immature Unknown,Buteo jamaicensis,1219
RT UL,Red-Tailed Hawk Unknown Light,Buteo jamaicensis,1220
RT UD,Red-Tailed Hawk Unknown Dark,Buteo jamaicensis,1221
RT UU,Red-Tailed Hawk Unknown Unknown,Buteo jamaicensis,1222
